Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
vandemoortele,2,2,2900,76.98,0.00,https://vandemoortele.com/fr-fr,75,1.56,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,3,4,2900,76.98,0.00,https://vandemoortele.com/fr-fr/nos-produits,52,1.08,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,4,3,2900,76.98,0.00,https://vandemoortele.com/fr-fr/nous-contacter,40,0.83,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,5,5,2900,76.98,0.00,https://vandemoortele.com/fr-fr/article/nouveau-catalogue-vandemoortele-bakery-products-france-2018,29,0.6,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,6,6,2900,76.98,0.00,https://vandemoortele.com/en,29,0.6,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,7,7,2900,76.98,0.00,https://vandemoortele.com/fr-fr/notre-histoire,23,0.48,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,8,8,2900,76.98,0.00,https://vandemoortele.com/fr-fr/notre-societe,17,0.35,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
vandemoortele,1,1,2900,76.98,0.00,https://vandemoortele.com/fr-be,2320,48.47,0.00,0,629000,"[67,100,81,81,67,67,53,81,81,81,67,81]",1585594907,"Local pack, Image pack, Site links, Video Carousel"
banana cake,45,50,2900,80.25,0.00,https://vandemoortele.com/fr-be/produit/banana-cake,0,0,0.00,0,484000000,"[83,100,100,100,83,83,100,100,100,100,100,100]",1585548557,"Knowledge panel, Image, Video Carousel"
opera patisserie,38,39,2900,83.69,0.00,https://vandemoortele.com/fr-fr/product/opera-cafe-chocolat-la-patisserie-du-chefr,0,0,0.00,0,2250000,"[43,43,43,55,43,43,43,55,82,100,100,82]",1585602226,"Knowledge panel, Local pack, Site links, Image, Video Carousel"
cookie aux pépites de chocolat,49,0,2400,86.18,1.06,https://vandemoortele.com/fr-fr/product/cookie-aux-pepites-de-chocolat-my-original-cookiesr,0,0,0.00,0.05,6080000,"[83,83,66,83,55,45,55,55,100,100,100,100]",1585594721,"Knowledge panel, Image pack, Image, Video Carousel"
huile d arachide,48,47,2400,79.79,0.17,https://vandemoortele.com/fr-be/product/vandemoorteler-huile-darachide-1-l,0,0,0.00,0.95,2500000,"[67,67,67,67,53,67,67,67,81,81,81,100]",1585567304,"Knowledge panel, Site links, Image, Video Carousel, People also ask"
fricandelle,17,17,2400,77.72,0.00,https://vandemoortele.com/fr-be/product/pain-saucisse-fricandelle,1,0.02,0.00,0.03,22000,"[55,66,83,83,66,83,100,66,83,83,66,83]",1585083575,"Knowledge panel, Site links, Image, Video Carousel"
pate levée,46,46,1900,84.12,0.00,https://vandemoortele.com/fr-fr/product/st-auventr-biscuit-pate-levee,0,0,0.00,0.01,254000,"[55,66,55,55,45,34,66,83,83,100,55,66]",1585231475,"Knowledge panel, Featured snippet, Image, Video Carousel"
recherche et développement,46,46,1900,80.49,0.00,https://vandemoortele.com/fr-fr/recherche-developpement,0,0,0.00,0,264000000,"[55,66,55,55,55,45,34,66,83,83,66,100]",1585069246,"Knowledge panel, Featured snippet"
liégeois,62,62,1900,87.12,0.00,https://vandemoortele.com/fr-be/produit/chocolat-liegeois,0,0,0.00,0.02,3750000,"[67,79,67,67,67,79,67,67,100,79,79,100]",1585195208,"Knowledge panel, Image, Video Carousel"
croquant chocolat,86,86,1900,83.51,0.00,https://vandemoortele.com/fr-be/product/croquant-au-chocolat,0,0,0.00,0.01,2100000,"[53,53,36,44,36,36,44,53,67,81,100,44]",1585004497,"Image pack, Image, Video Carousel"
fève galette des rois,60,60,1900,91.69,0.12,https://vandemoortele.com/fr-be/produit/galette-des-rois-la-frangipane-avec-feve,0,0,0.00,1,306000,"[3,1,1,1,1,1,1,3,4,7,30,100]",1585267347,"Image pack, Site links, Video, Image, People also ask"
fries,74,74,1600,85.26,0.00,https://vandemoortele.com/fr-be/recette/dirty-fries-avec-spicy-hannibal,0,0,0.00,0.02,369000000,"[53,68,68,68,68,84,100,84,84,100,84,84]",1585238617,"Instant answer, Local pack, Image pack, Site links, Image, Video Carousel"
brioche au beurre,67,67,1600,87.99,1.13,https://vandemoortele.com/fr-be/produit/brioche-au-beurre,0,0,0.00,0.01,8350000,"[79,79,67,67,37,30,37,54,79,100,79,100]",1585374399,"Image pack, Image, Video Carousel"
dome chocolat,72,72,1600,79.58,0.00,https://vandemoortele.com/fr-be/product/dome-croquant-chocolat,0,0,0.00,0.05,2350000,"[35,30,24,16,11,11,16,16,30,44,100,24]",1585231406,"Image pack, Video, Image, Video Carousel"
recette pizza chevre miel,69,69,1600,82.57,0.15,https://vandemoortele.com/fr-fr/recipe/pizza-chevre-miel-aux-noix-de-pecan,0,0,0.00,0.01,274000,"[84,84,84,100,84,84,100,100,100,100,84,84]",1585040625,"Image pack, Image, Video Carousel"
panino,19,19,1600,80.15,0.10,https://vandemoortele.com/fr-be/product/panino-grille-et-precoupe,4,0.08,0.00,0.04,8740000,"[45,55,45,45,55,55,100,55,55,55,55,55]",1585083211,"Local pack, Image pack, Image, FAQ"
croissant jambon fromage,45,45,1600,85.84,0.00,https://vandemoortele.com/fr-be/product/croissant-jambon-fromage,0,0,0.00,0.11,700000,"[37,54,54,100,42,42,54,79,100,79,100,79]",1585126719,"Image pack, Video, Image, Video Carousel"
garniture,71,71,1600,93.24,0.00,https://vandemoortele.com/fr-fr/product/st-auventr-garniture-pleine-saveur,0,0,0.00,0.01,18800000,"[68,84,84,84,84,84,84,84,100,100,100,100]",1585365985,"Knowledge panel, Image pack, Featured snippet, Image"
sauce hannibal,22,22,1600,81.02,0.26,https://vandemoortele.com/fr-fr/product/sauce-snack-rissor-hannibal,2,0.04,0.00,0.02,1990000,"[53,68,68,68,68,84,84,84,84,100,84,100]",1585169850,"Knowledge panel, Image, Video Carousel"
limande sole,96,96,1300,82.88,0.00,https://vandemoortele.com/fr-be/recipe/goujonnettes-de-limande-sole,0,0,0.00,0,139000,"[46,100,53,53,53,68,84,68,53,53,53,53]",1585076732,"Knowledge panel, Image, Video Carousel, People also ask"
passion des iles,50,50,1300,81.4,0.31,https://vandemoortele.com/fr-be/product/passion-des-iles,0,0,0.00,0.2,4630000,"[84,68,53,68,53,53,68,84,84,68,53,100]",1585115997,"Image pack, Site links, Image, Video Carousel"
pomodorini,68,68,1300,79.75,0.00,https://vandemoortele.com/fr-be/product/focaccia-pomodorini,0,0,0.00,0.01,5200000,"[38,46,53,53,53,100,100,84,68,68,53,53]",1585173593,"Image pack, Video, Image"
750 ml en l,67,67,1300,76.91,0.00,https://vandemoortele.com/fr-fr/produit/risso-evolution-750-ml,0,0,0.00,0.01,508000000,"[81,81,63,63,55,45,55,81,100,100,81,100]",1585054718,"Instant answer, People also ask"
grillé aux pommes,46,46,1300,82.6,0.00,https://vandemoortele.com/fr-fr/product/grille-aux-pommes-de-la-vallee-du-rhone,0,0,0.00,0.2,31600000,"[42,42,37,37,37,30,42,79,100,100,42,42]",1585389773,"Image pack, Image, Video Carousel"
couque,55,55,1000,81.41,0.00,https://vandemoortele.com/fr-be/product/couque-au-beurre-0,0,0,0.00,0.01,338000,"[55,55,55,55,55,63,63,63,63,100,81,63]",1585028598,"Knowledge panel, Featured snippet, Image, Video Carousel, FAQ"
petit pain rond,50,50,1000,83.16,0.00,https://vandemoortele.com/fr-be/product/petit-pain-rond-multicereales-fit,0,0,0.00,0.02,10600000,"[30,42,37,100,67,30,30,25,25,100,54,37]",1585198762,"Image pack, Featured snippet, Image, Video Carousel"
torsade chocolat,51,49,1000,79.26,0.00,https://vandemoortele.com/fr-fr/product/torsade-feuilletee-creme-et-pepites-chocolat,0,0,0.00,0.01,163000,"[30,63,55,63,55,55,63,63,100,63,63,81]",1585569749,"Image pack, Image, Video Carousel"
croissant au beurre,50,50,1000,86.63,0.00,https://vandemoortele.com/fr-be/produit/mini-croissant-au-beurre,0,0,0.00,0.23,5430000,"[55,63,55,63,55,55,63,81,100,100,63,100]",1585043906,"Image pack, Image, Video Carousel"
huile friture,87,87,1000,71.13,0.54,https://vandemoortele.com/fr-be/product/vandemoorteler-huile-pour-friture-moins-dodeurs,0,0,0.00,0.99,2290000,"[68,77,68,77,55,68,77,68,68,68,77,100]",1585260033,"Knowledge panel, Image, Video Carousel, People also ask"
puff pastry,83,83,1000,77.27,0.00,https://vandemoortele.com/en/recipe/puff-pastry,0,0,0.00,0.05,115000000,"[63,81,63,63,55,55,63,55,63,63,100,81]",1585007075,"Instant answer, Knowledge panel, Site links, Image, Video Carousel"
bavarois poire,75,75,1000,80.88,0.00,https://vandemoortele.com/fr-be/product/bavarois-poire-caramel,0,0,0.00,0.01,259000,"[53,53,38,31,25,25,31,46,84,84,100,46]",1585133984,"Image pack, Image, Video Carousel"
papier journal,89,89,1000,78.6,0.32,https://vandemoortele.com/fr-be/recipe/du-poisson-emballe-dans-du-papier-journal-au-barbecue,0,0,0.00,0.99,164000000,"[38,46,38,46,38,46,38,84,84,100,84,100]",1585213135,"Image pack, Site links, Video Carousel"
americain sandwich,91,91,1000,73.49,0.00,https://vandemoortele.com/fr-be/recipe/mini-sandwich-lamericain-prepare,0,0,0.00,0,621000,"[45,55,68,55,77,100,100,77,77,77,77,100]",1585108824,"Knowledge panel, Site links, Image, Video Carousel"
huile de mais,28,28,1000,77.69,0.13,https://vandemoortele.com/fr-be/product/vandemoorteler-huile-de-mais-5-l,0,0,0.00,1,160000000,"[77,77,77,77,77,77,100,100,100,100,100,100]",1585278173,"Knowledge panel, Video Carousel"
boulangerie opera,60,60,1000,90.8,0.00,https://vandemoortele.com/fr-fr/product/opera-cafe-chocolat-la-patisserie-du-chefr,0,0,0.00,0,894000,"[68,68,68,68,68,68,77,77,77,100,100,100]",1585180985,"Local pack, Site links, Video Carousel"
vienoiserie,38,38,1000,87.47,0.00,https://vandemoortele.com/fr-be/nos-produits/produits-de-boulangerie/viennoiserie,0,0,0.00,0,9390000,"[77,100,77,77,77,77,68,100,100,100,77,100]",1585274299,"Knowledge panel, Featured snippet, Image, Video Carousel"
rocky road,24,24,880,81.32,0.00,https://www.vandemoortele.com/fr-fr/product/rocky-road-brownie-my-original-cakesr,1,0.02,0.00,0.02,364000000,"[72,72,59,72,72,72,88,88,88,88,100,88]",1585196942,"Knowledge panel, Image, Video Carousel, FAQ"
pizza d or,51,51,880,83.84,0.81,https://vandemoortele.com/fr-fr/product/gastroplaque-pizza-banquet-dorr,0,0,0.00,0.01,1430000000,"[82,100,82,100,100,100,100,100,100,100,100,82]",1585227745,"Local pack, Image pack, Video, Image"
muffin vanille,30,30,880,82.89,2.79,https://vandemoortele.com/fr-be/produit/muffin-la-vanille,1,0.02,3.00,0.03,4670000,"[68,77,68,77,68,55,45,68,100,77,68,68]",1585055339,"Image pack, Image, Video Carousel"
feuille exotique,60,60,880,83.85,0.15,https://vandemoortele.com/fr-fr/recipe/mille-feuille-exotique-au-foie-gras,0,0,0.00,1,16200000,"[37,45,45,45,68,100,68,68,68,68,55,77]",1585472379,"Image pack, Image, Video Carousel"
muffin pomme cannelle,72,72,880,84.46,0.00,https://vandemoortele.com/fr-be/produit/muffin-pomme-canelle-fourre-au-caramel,0,0,0.00,0.05,349000,"[55,63,55,55,37,24,30,55,100,100,81,55]",1585112420,"Image pack, Image, Video Carousel"
köfte,59,59,880,80.69,0.00,https://vandemoortele.com/fr-be/recette/kofte-brochettes-de-hache-dagneau,0,0,0.00,0,27100000,"[59,72,72,88,72,88,88,88,100,100,88,100]",1585296134,"Knowledge panel, Image, Video Carousel"
sauce giant,81,81,880,78.79,0.09,https://vandemoortele.com/fr-be/nos-produits/margarines-huiles-graisses-sauces/sauces,0,0,0.00,0.57,67800000,"[72,88,72,100,72,88,100,88,88,100,88,100]",1585375912,"Image pack, Video, Image, Video Carousel"
margarine végétale,80,80,880,78.96,0.54,https://vandemoortele.com/fr-be/margarines-culinary-oils-fats/margarines-and-blends/margarine-creamy-taste,0,0,0.00,0.97,325000,"[55,45,55,81,24,30,45,45,55,100,100,63]",1585115974,"Image pack, Image, Video Carousel, People also ask"
mini sandwich,51,51,880,88.17,0.00,https://vandemoortele.com/fr-be/produit/mini-sandwich,0,0,0.00,0.33,393000000,"[30,37,37,55,63,55,45,55,63,55,100,55]",1585411332,"Image pack, Image, Video Carousel"
triangle aux amandes,27,0,880,81.5,0.00,https://vandemoortele.com/fr-fr/product/triangle-aux-amandes-cuisson-directe,1,0.02,0.00,0,898000,"[30,25,30,100,45,17,20,20,25,25,25,30]",1585594980,"Knowledge panel, Image, Video Carousel"
chausson pomme,79,79,720,88.82,0.45,https://vandemoortele.com/fr-fr/product/chausson-pommes-compote,0,0,0.00,0.03,371000,"[68,68,45,45,25,30,37,68,100,100,55,77]",1585393590,"Knowledge panel, Image, Video Carousel"
patisserie opera,54,54,720,85.76,0.00,https://vandemoortele.com/fr-fr/product/opera-cafe-chocolat-la-patisserie-du-chefr,0,0,0.00,0,2330000,"[48,59,48,48,39,48,59,72,72,100,100,88]",1585209771,"Local pack, Image pack, Site links, Image, Video Carousel"
plaque a pizza,34,34,720,81.57,0.25,https://vandemoortele.com/fr-fr/product/gastroplaque-pizza-banquet-dorr,0,0,0.00,1,21500000,"[55,67,67,100,82,67,82,82,82,82,82,82]",1585245599,"Image pack, Image, Video Carousel"
tarte brésilienne,45,45,720,82.3,0.00,https://vandemoortele.com/fr-be/product/tarte-bresilienne,0,0,0.00,0,531000,"[59,72,48,59,48,48,59,59,88,100,88,88]",1585483172,"Image pack, Image, Video Carousel"
pizza chevre miel recette,54,54,720,82.96,0.25,https://vandemoortele.com/fr-fr/recipe/pizza-chevre-miel-aux-noix-de-pecan,0,0,0.00,0.02,371000,"[32,39,39,100,72,59,88,72,88,72,72,59]",1585414702,"Image pack, Image, Video Carousel"
emulsifiant e471,75,75,720,77.76,0.00,https://vandemoortele.com/sites/default/files/2017-05/Grondstoffenfolder_2017_FR-LR_Spread_v2_0.pdf,0,0,0.00,0.01,13700,"[82,100,82,100,82,82,67,67,82,82,100,82]",1585024433,"Knowledge panel, Site links, Video, People also ask"
custard cream,81,81,720,81.06,0.15,https://vandemoortele.com/en/butter-twist-chocolate-custard-cream,0,0,0.00,0.71,74400000,"[59,72,59,72,72,59,72,59,72,72,72,100]",1585202446,"Knowledge panel, Image, Video Carousel"
pain bucheron,35,35,720,69.25,0.00,https://vandemoortele.com/fr-be/produit/pain-de-bucheron-fit,0,0,0.00,0.18,101000,"[59,72,59,72,59,59,72,88,100,88,100,88]",1585271385,"Video, Featured snippet, Image, Shopping ads, Video Carousel"
liegeois,58,58,720,85.38,0.00,https://vandemoortele.com/fr-be/produit/chocolat-liegeois,0,0,0.00,0.03,821000,"[55,67,67,67,82,100,100,100,100,100,82,82]",1585116278,"Knowledge panel, Local pack, Featured snippet, Image, Video Carousel"
plaque pizza,28,28,720,83.9,0.31,https://vandemoortele.com/fr-fr/product/gastroplaque-pizza-banquet-dorr,1,0.02,0.00,1,21600000,"[55,67,67,82,82,82,100,82,82,100,100,82]",1585256472,"Image pack, Image, Shopping ads, Video Carousel"
private label,37,37,720,70.17,0.36,https://vandemoortele.com/fr-be/private-label,0,0,0.00,0.12,823000000,"[59,88,59,59,59,59,48,72,88,100,59,72]",1585083481,"Instant answer, Knowledge panel, Site links, Video Carousel"
suisse viennoiserie,78,78,720,85.95,0.00,https://vandemoortele.com/fr-fr/taxonomy/term/581,0,0,0.00,0,314000,"[59,72,59,59,48,48,72,72,100,88,88,100]",1585421934,"Knowledge panel, Image, Video Carousel"
entremet poire caramel,64,64,720,70.19,0.00,https://vandemoortele.com/fr-fr/product/entremet-poire-caramel-la-patisserie-du-chefr,0,0,0.00,0.01,194000,"[45,45,37,20,16,16,30,45,77,100,100,45]",1585220422,"Image pack, Image, Video Carousel"
feuilletage,88,88,590,79.14,0.00,https://vandemoortele.com/fr-fr/product/st-allery-premiumr-feuilletage,0,0,0.00,0.01,833000,"[30,37,37,37,30,25,30,45,55,55,68,100]",1585022501,"Knowledge panel, Site links, Image, Video Carousel"
pain garni,88,88,590,82.45,0.00,https://vandemoortele.com/fr-be/recipe/pain-garni-pastrami,0,0,0.00,0.02,6300000,"[44,55,44,67,55,67,67,55,67,67,100,55]",1585436379,"Local pack, Image pack, Image, Video Carousel"
sirha 2019,44,44,590,68.99,0.00,https://vandemoortele.com/fr-fr/article/sirha-2019,0,0,0.00,0,732000,"[100,24,13,13,13,11,6,11,9,7,6,9]",1585288758,"Knowledge panel, Site links, Video, Video Carousel"
snaking,26,26,590,80.01,0.00,https://vandemoortele.com/fr-fr/article/focaccia-toast-100-snacking,0,0,0.00,0.05,3260000,"[82,100,82,82,82,67,67,82,100,100,82,100]",1585256444,"Image pack, Site links, Video Carousel"
patisserie americaine,48,48,590,82.05,0.00,https://vandemoortele.com/fr-fr/nos-produits,0,0,0.00,0.01,165000,"[39,48,39,39,48,100,39,59,59,59,39,48]",1585445410,"Local pack, Image pack, Video Carousel"
entremet passion,83,0,590,73.72,0.00,https://vandemoortele.com/fr-fr/product/entremet-passion-des-iles-la-patisserie-du-chefr,0,0,0.00,0.13,414000,"[45,45,30,37,37,30,30,30,45,68,100,45]",1585526478,"Image pack, Image, Video Carousel"
huile pour friture,36,36,590,80.92,0.64,https://vandemoortele.com/fr-be/product/vandemoorteler-huile-pour-friture-moins-dodeurs,0,0,0.00,0.93,2170000,"[100,100,82,100,67,67,82,82,82,82,82,100]",1585515824,"Image pack, Featured snippet, Video Carousel, People also ask"
cookie tout chocolat,93,93,590,85.3,0.00,https://vandemoortele.com/fr-fr/product/cookie-tout-chocolat-my-originals-r,0,0,0.00,0.03,15600000,"[82,100,82,82,67,67,67,82,100,100,82,82]",1585045712,"Image pack, Image, Video Carousel"
pate au beurre,73,73,590,83.47,0.00,https://vandemoortele.com/fr-fr/product/plaque-pate-feuilletee-beurre-28mm-banquet-dorr,0,0,0.00,0,17600000,"[67,82,55,55,55,67,67,82,100,100,82,100]",1585123406,"Image pack, Image, Video Carousel"
amann,76,73,590,82.9,0.00,https://vandemoortele.com/fr-fr/product/kouign-amann-banquet-dorr,0,0,0.00,0,8240000,"[67,67,55,55,67,67,67,67,82,100,67,82]",1585530641,"Local pack, Site links, Image, Video Carousel, FAQ"
graisse de palme,35,30,590,75.94,0.00,https://vandemoortele.com/fr-be/product/rissor-palm-graisse-frire,0,0,0.00,0.03,351000,"[82,67,55,55,55,55,55,67,82,67,67,100]",1585559011,"Instant answer, Knowledge panel, Site links, Video, Video Carousel, FAQ"
huile de colza friture,77,77,590,80.72,0.00,https://vandemoortele.com/fr-be/product/vandemoorteler-huile-pour-friture-moins-dodeurs,0,0,0.00,0.01,145000,"[67,67,36,100,55,55,55,82,67,67,82,67]",1585400319,"Featured snippet, Video Carousel, People also ask"
fine champagne,98,98,590,73.89,0.00,https://vandemoortele.com/fr-be/recette/faisan-fine-champagne,0,0,0.00,0.97,190000000,"[30,45,37,30,37,30,45,37,37,55,100,45]",1585378677,"Knowledge panel, Site links, Featured snippet, Image"
couque suisse,30,30,590,82.1,0.00,https://vandemoortele.com/fr-be/product/couque-suisse-ronde-avec-raisins,0,0,0.00,0,21600,"[55,67,55,55,55,82,100,67,82,100,67,67]",1585420649,"Knowledge panel, Image, Video Carousel"
muffin caramel,62,62,590,79.77,0.00,https://vandemoortele.com/fr-be/produit/muffin-pomme-canelle-fourre-au-caramel,0,0,0.00,0.03,31600000,"[67,82,55,67,55,36,44,67,82,100,55,55]",1585451254,"Image pack, Image, Video Carousel"
pain batard,26,0,590,77.18,0.00,https://vandemoortele.com/fr-be/product/pain-batard-blanc,0,0,0.00,0,266000,"[55,67,82,100,67,82,67,67,55,67,67,67]",1585564066,"Knowledge panel, Site links, Image, Video Carousel, People also ask"
torsade au chocolat,58,58,590,81.16,0.00,https://vandemoortele.com/fr-fr/product/torsade-feuilletee-creme-et-pepites-chocolat,0,0,0.00,0,517000,"[82,55,55,55,44,55,55,67,100,82,67,67]",1585425657,"Image pack, Image, Video Carousel"
sauce pour moules,41,41,590,88.7,0.00,https://vandemoortele.com/fr-be/product/vandemoorteler-sauce-pour-moules-40-ml,0,0,0.00,0,15400000,"[25,37,25,30,37,68,100,55,45,37,37,25]",1585084508,"Image pack, Image, Video Carousel"
grillé au pomme,41,42,590,84.03,0.00,https://vandemoortele.com/fr-fr/product/grille-aux-pommes-de-la-vallee-du-rhone,0,0,0.00,0,33300000,"[55,55,44,55,44,44,55,82,100,100,55,82]",1585558976,"Image pack, Image, Video Carousel"
tarta de queso,79,80,590,67.23,0.00,https://vandemoortele.com/es-es/producto/tarta-de-queso,0,0,0.00,0,34900000,"[54,67,82,100,67,67,100,82,82,82,67,82]",1585558771,"Knowledge panel, Site links, Image, Video Carousel"
deeg,40,40,590,84.73,0.39,https://www.vandemoortele.com/fr-be/node/13156,0,0,0.00,0.01,8370000,"[100,100,82,82,82,100,82,67,82,82,82,82]",1585123671,"Knowledge panel, Image pack, Image, Video Carousel, FAQ"
